symbol,timestamp,currentPrice,rd,min,max,avg,macd,rsi,bbl,bbm,bbu,ema,adx,stochK,stochD,volume,williamsR,atr,cci
GOOGL,2024-04-12T09:30-04:00[America/New_York],157.72999572753906,-0.045054020948408637,150.52999877929688,159.41000366210938,154.8781821511008509090909090909091,1.62691419690285828566138011572,65.001499613578904749843045213272,"(150.08014138723226896554131721848,155.26248442231457988090295350550,160.44482745739689079626458979252)",155.26248442231457988090295350550,22.167152646288770357071421836490,74.303355358053929402446078467355,80.405228568920660632905170164073,25329200,-25.696644641946070597553921532645,1.8099581048957710360422181251516,110.77247960035505383744194930033
GOOG,2024-04-12T09:30-04:00[America/New_York],159.19000244140625,-0.045514305691500445,151.94000244140625,160.7899932861328,156.2545443448153409090909090909091,1.65950096107551070307418662606,65.626149331790187867955125812082,"(151.44824852393636601441298434200,156.66642822872481177138552994841,161.88460793351325752835807555482)",156.66642822872481177138552994841,23.338171522194286878019678879579,74.282828693418453995360972735222,80.87925438199361068977496459524,16968200,-25.717171306581546004639027264778,1.7666956097667543185278204608889,113.05277705736756587249519640878
PG,2024-04-12T09:30-04:00[America/New_York],155.3300018310547,0.04265021983941633,155.3300018310547,162.25,157.4736369739879281818181818181818,-1.71507586917399720515925442097,20.596001111790067541857325856835,"(152.72996407171136650662613997695,157.39396695096687063697382368757,162.05796983022237476732150739819)",157.39396695096687063697382368757,54.241578208395708356900964480027,0E+1,9.449532910558394505076779920742,6770500,-100,1.1708735441219247719482858811670,-80.688801660302341721762432284127
AVGO,2024-04-12T09:30-04:00[America/New_York],1344.0699462890625,-0.014078595776531788,1317.5,1382.4599609375,1341.240900213068181818181818181818,5.6780774442599294743449346304,52.380998393638029461906661070454,"(1305.5428449163553743009947373269,1341.3630949845069583908612065232,1377.1833450526585424807276757195)",1341.3630949845069583908612065232,14.206576539404625244710469541034,30.723811620960866349351536606987,37.156924188785563855435291992027,2778000,-69.276188379039133650648463393013,24.793580055289444251678010977304,19.718116080303341916532067496952
UNH,2024-04-12T09:30-04:00[America/New_York],439.20001220703125,0.11218920281080028,439.20001220703125,494.70001220703125,460.0081842595880636363636363636364,-13.10195252027669983286163944307,9.701589053149107941315297607043,"(425.34066687581367229574626426804,458.43051159058047245595813322884,491.52035630534727261617000218964)",458.43051159058047245595813322884,57.465264906529338479870128118290,0,0,6042900,-100,4.8010740637017719261368818595755,-121.44840401406497149208061239806
V,2024-04-12T09:30-04:00[America/New_York],275.9599914550781,0.011179573123490895,274.0,279.0799865722656,276.7727272727272636363636363636364,-0.87528878858994578074084228718,41.413553405158566756554236539451,"(273.56511263881421179648261415278,276.65890506959654175409738338416,279.75269750037887171171215261554)",276.65890506959654175409738338416,44.973982541769161580865370692563,28.446840175043486703399890154669,19.932202989446338429920450720196,9037900,-71.553159824956513296600109845331,1.6718552325375988910940629458807,-59.891739532079483180912923475951
TSLA,2024-04-12T09:30-04:00[America/New_York],171.0500030517578,0.02696393660280613,164.89999389648438,176.8800048828125,171.75454573197798,-0.92988831762994124234669977769,45.883959622875426113860310021237,"(165.16050349967588833171008232014,172.53880330001883071642675271280,179.91710310036177310114342310546)",172.53880330001883071642675271280,16.201003974047075753898286153200,41.922314424378986627097161660332,51.601911351405275326669168150743,64506600,-58.077685575621013372902838339668,4.8556267715337041406142220758832,-15.569571519388927312838086532358
MA,2024-04-12T09:30-04:00[America/New_York],465.3800048828125,0.03361920841242563,465.3800048828125,481.57000732421875,474.3281832608309772727272727272727,-3.27508047373258150383173832636,25.796655570620989634455209531186,"(462.66663499757733780405648352479,473.13553850558457484559191712138,483.60444201359181188712735071797)",473.13553850558457484559191712138,42.437470321227530834703987135315,0E+1,0,2486300,-100,3.5972107407390508640036420018896,-138.61057277124564327100660944533
NVDA,2024-04-12T09:30-04:00[America/New_York],881.8599853515625,0.024016127612626084,853.5399780273438,906.1599731445312,883.0690917968750181818181818181818,-6.51191805432753848030704511741,46.803273602173220306741642887355,"(849.31488363310477307234386811713,883.99768123365334026318766474557,918.68047883420190745403146137401)",883.99768123365334026318766474557,33.693777022008295435051988392085,41.216705381769363261418037606618,47.440939111432810838112230939593,42488900,-58.783294618230636738581962393382,18.700836776090283514107016059545,2.0643100578867023590620552639602
META,2024-04-12T09:30-04:00[America/New_York],511.8999938964844,-0.0542032374728067,485.5799865722656,527.3400268554688,510.0309115323153454545454545454545,8.92558012353594822164627628087,60.206572374759072239772311246224,"(484.97348487823088174097757649573,510.71636317558225347011008096167,536.45924147293362519924258542761)",510.71636317558225347011008096167,38.547732424269374999093941293248,57.329569210950243838565216869925,71.262627303359094249735192896803,11944900,-42.670430789049756161434783130075,9.4624715529509453982132393499471,14.761165418400452036201763780607
WMT,2024-04-12T09:30-04:00[America/New_York],60.13999938964844,0.0004985670634830241,59.15999984741211,60.619998931884766,59.86636317859996445454545454545455,-0.024004901548807918830027539522,53.405964703628293393063174565321,"(59.227825314678975997347688726210,60.000083309247544431268363673324,60.772341303816112865189038620438)",60.000083309247544431268363673324,21.714731464990655611657858558191,56.647387372687248342758707273204,67.02926108046034166823635879159,12278100,-43.352612627312751657241292726796,0.59172347856165095988564534112647,61.343136863998579270503777223594
LLY,2024-04-12T09:30-04:00[America/New_York],751.6400146484375,0.033832082087559764,751.6400146484375,784.2100219726562,767.1354592063210272727272727272727,-4.66536538858535800115038454905,34.190705749819576608144068343613,"(746.10107025352045306631873627905,765.79061033318986945260108542634,785.48015041285928583888343457363)",765.79061033318986945260108542634,26.512611201853242247389912058426,0,6.487353171298949386056881149408,2490000,-100,13.961605063591535246310881532811,-111.16360844377460065312417674007
XOM,2024-04-12T09:30-04:00[America/New_York],120.37000274658203,-0.03552998071845086,116.23999786376953,122.19999694824219,119.9081823175603681818181818181818,1.35528714429826586509874158663,62.815403330368877466874246013662,"(116.41875373908040532768367574158,120.03410453843520977649045820628,123.64945533779001422529724067098)",120.03410453843520977649045820628,44.904624881604597969128940100575,54.993391584912283311423184136524,78.90198494545598670205823201385,21539500,-45.006608415087716688576815863476,1.0466566686456753969551792384045,55.497167950148991660774874974249
AMZN,2024-04-12T09:30-04:00[America/New_York],186.1300048828125,-0.03187714737969767,180.0,189.0500030517578,183.7736386385830954545454545454545,1.63243034808720693107140513542,63.797064639086293668035633401568,"(178.76902903242917669121649892080,184.50242879834543836086792897248,190.23582856426170003051935902416)",184.50242879834543836086792897248,25.678470111905414425701490791550,62.743113634979297908856906426324,78.812091688480447348383131530037,38554300,-37.256886365020702091143093573676,2.2500634824224233578268175803541,67.498926979249082622501272639366
MSFT,2024-04-12T09:30-04:00[America/New_York],421.8999938964844,-0.002804698308513016,417.8800048828125,427.92999267578125,423.1400007768110818181818181818182,0.98108002714070598322498494973,48.593930657792714054871751018667,"(417.71106636236873875379292291628,423.36204749781491414339274939156,429.01302863326108953299257586684)",423.36204749781491414339274939156,19.414470231191300331801417999325,34.986879289463277734101098527506,57.43839949055540701948597787653,19232100,-65.013120710536722265898901472494,3.6866902605767370808699222618255,-31.928617799333135858570233230159
AAPL,2024-04-12T09:30-04:00[America/New_York],176.5500030517578,-0.029566173609395043,167.77999877929688,176.5500030517578,170.5354531028053972727272727272727,0.25254757973448376215907785574,71.394020427301851929339881142875,"(166.14352549532085306017192568581,171.46306954066744704256964073895,176.78261358601404102496735579209)",171.46306954066744704256964073895,21.186977742801097741328879500573,82.892275563875509727420508149447,59.14111879126075533415274284721,101593300,-17.107724436124490272579491850553,1.9890911777374821520459692167348,201.83067194535939329399012063327
JPM,2024-04-12T09:30-04:00[America/New_York],182.7899932861328,0.08741891911554484,182.7899932861328,200.3000030517578,196.2563615278764181818181818181818,-2.17269382123200215273992313898,9.444628043805030893083047457068,"(186.01386140163350738548502755620,195.05293354219568400298096811292,204.09200568275786062047690866964)",195.05293354219568400298096811292,52.957996196779186920260236530888,0E+1,0,31506200,-100,2.2657507403271475106030785416932,-315.86011256151651612024374169675
ORCL,2024-04-12T09:30-04:00[America/New_York],121.11000061035156,0.03582517298092548,121.11000061035156,126.23999786376953,124.0400002219460227272727272727273,-0.82039062840721546098475601214,30.494909357745380619080276271801,"(120.56007566412344878064383972891,123.60231149275724608273403675756,126.64454732139104338482423378622)",123.60231149275724608273403675756,34.891666895979409711348558557642,0,7.9593930227695883460147031164817,6189600,-100,1.3159795856645346059067360140978,-162.21768166405267835432787933418
JNJ,2024-04-12T09:30-04:00[America/New_York],147.52000427246094,0.06745052155174906,147.52000427246094,158.19000244140625,153.0218159068714481818181818181818,-2.33419070412004461826469911688,6.267606208327231725990281689637,"(145.22189001618681241654858144674,152.16185521232673715175865938329,159.10182040846666188696873731984)",152.16185521232673715175865938329,61.445671057046825649102924981646,0,0,7097500,-100,1.3761365369719117263245020408698,-127.60129221146579196637324072312
