symbol,timestamp,currentPrice,rd,min,max,avg,macd,rsi,bollingerBands,ema,adx,stochK,stochD,volume,williamsR,atr,cci
MSFT,2024-04-19T11:39:47-04:00[America/New_York],401.2699890136719,0.04623030079529789,401.2699890136719,427.92999267578125,418.7587490081787125,-3.32008884025871998604681342470,26.777249777207167871949834327980,"(401.00963508064176052573125273236,416.06187687273618626966006446877,431.11411866483061201358887620518)",416.06187687273618626966006446877,21.741366718311727081813629987917,0,0,12375423,-100,4.2399441676529227645468783655634,-216.12989084836764610947205679256
GOOGL,2024-04-19T11:39:47-04:00[America/New_York],154.63999938964844,-0.024580977233841148,150.52999877929688,159.41000366210938,154.93999958038330,1.12203426888516709851417103577,53.028945349475775369578113642750,"(150.39057467301485473395755316541,154.74119820523245510209549185135,159.09182173745005547023343053729)",154.74119820523245510209549185135,14.169624839169557821437404363554,42.414856293422206040841611694901,49.982783345196028393912169510043,10167771,-57.585143706577793959158388305099,1.7149528348236136983093864756509,-7.5202364993711103901602717200052
LLY,2024-04-19T11:39:42-04:00[America/New_York],728.0601196289062,0.064141987935601,728.0601196289062,784.2100219726562,760.04876327514648125,-9.27492087144451408679818132451,26.680730231845578508347037133971,"(728.38116593991955349506354765372,756.62081021320615453341901946719,784.86045448649275557177449128066)",756.62081021320615453341901946719,22.588977376129989001181149996045,0,2.8624404615592068136789514419094,1316765,-100,14.756887768728339979832630792999,-178.13800073484932086689371539111
AMZN,2024-04-19T11:39:46-04:00[America/New_York],176.1999969482422,0.02317334417019185,176.1999969482422,189.0500030517578,182.82187652587890625,-0.03931020313220179562960155107,33.875436970917582886815026973025,"(175.73253172492226527787936822591,182.06592185457742391281288290087,188.39931198423258254774639757583)",182.06592185457742391281288290087,20.651484122745575444447933963359,0E+1,4.367104126743179554106715490185,19107153,-100,2.3539967424784058689603642400270,-163.12877958412150476520142082720
META,2024-04-19T11:39:45-04:00[America/New_York],486.55499267578125,-0.002007920693763079,485.5799865722656,527.3400268554688,505.80344009399414375,2.42660404991447024435391775131,41.690591040746453177603631800605,"(475.97984006051635212575879627107,501.51634922978357140232037090303,527.05285839905079067888194553499)",501.51634922978357140232037090303,27.026228219457330425605594519617,2.1237334474890171826631186801977,18.721434780287033535698536066285,8579469,-97.876266552510982817336881319802,10.233171646988755814126901314463,-100.51105638322473212685693464995
TSLA,2024-04-19T11:39:47-04:00[America/New_York],149.76499938964844,0.1480459348679965,149.76499938964844,176.8800048828125,166.439686775207518125,-5.45682262179860251278729462438,26.168613956800469020721503017561,"(146.47455309278733931436681695989,164.10593945530835397632090927714,181.73732581782936863827500159439)",164.10593945530835397632090927714,22.062250652194563166998536914626,0,0,41681097,-100,4.5929269797261698784878429735289,-156.71961004970524943900611034762
NVDA,2024-04-19T11:39:47-04:00[America/New_York],819.8212280273438,0.09267649050147302,819.8212280273438,906.1599731445312,872.1750793457031375,-14.95557589583118153300221044569,33.255668591593532500354831865240,"(819.74011040966761268547704401479,867.61380168710448719096288453372,915.48749296454136169644872505265)",867.61380168710448719096288453372,34.238234807504468714736494719005,0,2.5885406963023482704226751624002,25100010,-100,20.800312144372487845581515279222,-201.53789767654507262136188968262
V,2024-04-19T11:39:47-04:00[America/New_York],269.54998779296875,0.034147911845441956,269.54998779296875,279.0799865722656,275.04624938964843125,-2.01156602987631097203699889943,27.849615264826376174331537816587,"(268.49078137893872187862821279295,274.32670989091840663510974527950,280.16263840289809139159127776605)",274.32670989091840663510974527950,47.355830986833860708062011157479,0,5.2029050399965374796728985675823,1984224,-100,1.9398997784287368358887911113360,-158.53364433385082773141050810677
AAPL,2024-04-19T11:39:47-04:00[America/New_York],165.0800018310547,0.03732210202905052,165.0800018310547,176.5500030517578,169.87999916076660125,-0.79429888764397279662703782914,36.429761757786791188667392811815,"(164.12656902420610917760135159181,169.72411748766087476875437809109,175.32166595111564035990740459037)",169.72411748766087476875437809109,15.208141106837713012729247828455,0E+1,0.69313542100836264860118964791393,23249447,-100,1.9827000506343858312832843966473,-155.48499343123334502006009136012
JPM,2024-04-19T11:39:46-04:00[America/New_York],183.3300018310547,0.08472292043010118,180.0800018310547,200.3000030517578,191.698123931884765,-4.82302454749361917878337746081,23.496016924802205117150405443355,"(173.97258480092128762512112944377,189.49484879496017603744238766303,205.01711278899906444976364588229)",189.49484879496017603744238766303,54.672010527925582365158715866558,15.580057070502781300583324730487,7.0629562793523659626901776208763,3008718,-84.419942929497218699416675269513,2.0791845450584883255330870309724,-84.225441318443214295926530135331
